STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TOBS,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130703,-9999, , , ,9999,66, , ,7,2400,60, , ,7,2400,65, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130704,-9999, , , ,9999,80, , ,7,2400,63, , ,7,2400,70, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130705,-9999, , , ,9999,78, , ,7,2400,66, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130706,-9999, , , ,9999,79, , ,7,2400,69, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130707,-9999, , , ,9999,88, , ,7,2400,71, , ,7,2400,80, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130708,-9999, , , ,9999,86, , ,7,2400,71, , ,7,2400,71, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130709,-9999, , , ,9999,85, , ,7,2400,67, , ,7,2400,80, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130710,-9999, , , ,9999,82, , ,7,2400,67, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130711,-9999, , , ,9999,74, , ,7,2400,66, , ,7,2400,66, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130712,-9999, , , ,9999,74, , ,7,2400,63, , ,7,2400,69, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130713,-9999, , , ,9999,76, , ,7,2400,66, , ,7,2400,72, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130714,-9999, , , ,9999,80, , ,7,2400,71, , ,7,2400,74, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130715,-9999, , , ,9999,84, , ,7,2400,73, , ,7,2400,77, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130716,-9999, , , ,9999,91, , ,7,2400,77, , ,7,2400,84, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130717,-9999, , , ,9999,90, , ,7,2400,80, , ,7,2400,85, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130718,-9999, , , ,9999,95, , ,7,2400,81, , ,7,2400,84, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130719,-9999, , , ,9999,95, , ,7,2400,73, , ,7,2400,77, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130720,-9999, , , ,9999,80, , ,7,2400,71, , ,7,2400,73, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130721,-9999, , , ,9999,82, , ,7,2400,69, , ,7,2400,73, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130722,-9999, , , ,9999,85, , ,7,2400,71, , ,7,2400,77, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130723,-9999, , , ,9999,80, , ,7,2400,65, , ,7,2400,65, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130724,-9999, , , ,9999,69, , ,7,2400,62, , ,7,2400,65, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130725,-9999, , , ,9999,75, , ,7,2400,63, , ,7,2400,71, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130726,-9999, , , ,9999,74, , ,7,2400,67, , ,7,2400,67, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130727,-9999, , , ,9999,67, , ,7,2400,59, , ,7,2400,59, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130728,-9999, , , ,9999,69, , ,7,2400,56, , ,7,2400,64, , ,7,2400
GHCND:USC00111550,CHICAGO NORTHERLY ISLAND IL US,180.4,41.8558,-87.6094,20130729,-9999, , , ,9999,70, , ,7,2400,60, , ,7,2400,65, , ,7,2400
